id,from_visit,place_id,visit_date,visit_type,session
1,0,10,1571720421311930,1,0
2,1,11,1571720421524416,6,0
3,0,10,1571720445121995,1,0
4,0,12,1571720451890521,2,0
5,4,13,1571720460157238,5,0
6,5,14,1571720460672882,5,0
7,6,15,1571720525780389,1,0
8,7,16,1571720542226112,1,0
9,0,12,1571721167112475,2,0
10,9,13,1571721167261324,5,0
11,10,14,1571721185080210,5,0
12,7,14,1571721421464059,1,0
13,12,17,1571721462070927,1,0
14,12,18,1571721535532843,1,0
15,0,12,1571728215077907,2,0
16,15,13,1571728216670816,5,0
17,16,14,1571728246801836,5,0
18,0,10,1571733998717875,1,0
19,18,19,1571733999214129,6,0
20,0,10,1571734003849609,1,0
21,0,20,1571734476785390,1,0
22,21,21,1571734489266266,1,0
23,0,22,1571687792309101,2,0
25,0,24,1571687862691747,1,0
26,0,25,1571687934490730,2,0
27,0,26,1571687937667783,1,0
28,27,27,1571687945657313,1,0
29,27,28,1571687945713073,1,0
31,0,20,1571691904358081,1,0
32,21,30,1571691909456206,1,0
33,0,20,1571691951431161,1,0
34,21,30,1571691953735500,1,0
35,0,30,1571692082199510,2,0
36,0,30,1571692219211936,2,0
37,36,21,1571692223636471,1,0
38,22,31,1571692229057381,1,0
39,0,21,1571692420613920,2,0
40,0,20,1571692430483700,2,0
41,21,32,1571692432028238,1,0
42,0,10,1571692771758980,1,0
43,20,33,1571692771792372,6,0
44,0,10,1571692775337119,1,0
45,0,34,1571692779857834,2,0
46,0,35,1571692785803018,1,0
48,0,20,1571692868420632,1,0
49,21,32,1571692870085435,1,0
50,49,37,1571692876647990,1,0
51,50,38,1571692893442054,1,0
52,50,39,1571693071010327,1,0
53,0,40,1571694471641494,2,0
54,0,41,1571694480227490,1,0
55,53,42,1571694483795129,1,0
56,55,43,1571694490431995,1,0
57,0,44,1571694585609408,2,0
58,0,45,1571694589726737,1,0
59,57,46,1571694650674434,1,0
60,0,47,1571694653866071,1,0
61,0,20,1571695606632991,1,0
62,21,21,1571695612476618,1,0
63,21,30,1571695626632304,1,0
